transaction_date,Date_ID,Week_ID,Week_Desc,Month_ID,Month_Name,Quarter_ID,Quarter_Name,Year_ID
4/1/2019,20190401,14,Week 14,4,April,2,Q2,2019
4/2/2019,20190402,14,Week 14,4,April,2,Q2,2019
4/3/2019,20190403,14,Week 14,4,April,2,Q2,2019
4/4/2019,20190404,14,Week 14,4,April,2,Q2,2019
4/5/2019,20190405,14,Week 14,4,April,2,Q2,2019
4/6/2019,20190406,14,Week 14,4,April,2,Q2,2019
4/7/2019,20190407,14,Week 14,4,April,2,Q2,2019
4/8/2019,20190408,15,Week 15,4,April,2,Q2,2019
4/9/2019,20190409,15,Week 15,4,April,2,Q2,2019
4/10/2019,20190410,15,Week 15,4,April,2,Q2,2019
4/11/2019,20190411,15,Week 15,4,April,2,Q2,2019
4/12/2019,20190412,15,Week 15,4,April,2,Q2,2019
4/13/2019,20190413,15,Week 15,4,April,2,Q2,2019
4/14/2019,20190414,15,Week 15,4,April,2,Q2,2019
4/15/2019,20190415,16,Week 16,4,April,2,Q2,2019
4/16/2019,20190416,16,Week 16,4,April,2,Q2,2019
4/17/2019,20190417,16,Week 16,4,April,2,Q2,2019
4/18/2019,20190418,16,Week 16,4,April,2,Q2,2019
4/19/2019,20190419,16,Week 16,4,April,2,Q2,2019
4/20/2019,20190420,16,Week 16,4,April,2,Q2,2019
4/21/2019,20190421,16,Week 16,4,April,2,Q2,2019
4/22/2019,20190422,17,Week 17,4,April,2,Q2,2019
4/23/2019,20190423,17,Week 17,4,April,2,Q2,2019
4/24/2019,20190424,17,Week 17,4,April,2,Q2,2019
4/25/2019,20190425,17,Week 17,4,April,2,Q2,2019
4/26/2019,20190426,17,Week 17,4,April,2,Q2,2019
4/27/2019,20190427,17,Week 17,4,April,2,Q2,2019
4/28/2019,20190428,17,Week 17,4,April,2,Q2,2019
4/29/2019,20190429,18,Week 18,4,April,2,Q2,2019
4/30/2019,20190430,18,Week 18,4,April,2,Q2,2019
